City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C)
201,tres arroyos,-38.3739,-60.2798,284.14,64,65,5.18,AR,1717020280,10.990000000000009
202,vernon,50.2581,-119.2691,289.42,52,100,1.79,CA,1717020357,16.27000000000004
203,ravar,31.2656,56.8055,299.55,16,0,2.37,IR,1717020400,26.400000000000034
204,arish,31.1316,33.7984,294.45,72,0,2.59,EG,1717020401,21.30000000000001
205,korla,41.7597,86.1469,294.16,33,99,6.2,CN,1717020401,21.010000000000048
206,tsiombe,-25.3,45.4833,292.48,86,0,3.34,MG,1717020402,19.33000000000004
207,altamira,-3.2033,-52.2064,298.14,92,37,1.26,BR,1717020402,24.99000000000001
208,amahai,-3.3333,128.9167,302.7,86,30,1.32,ID,1717020403,29.55000000000001
209,amga,60.8953,131.9608,290.91,56,12,1.55,RU,1717020135,17.760000000000048
210,fort bragg,35.139,-79.006,303.9,32,0,6.17,US,1717020309,30.75
211,mascoutah,38.4903,-89.7932,299.0,47,40,2.57,US,1717020218,25.850000000000023
212,fale old settlement,-9.3852,-171.2468,302.62,71,1,4.87,TK,1717020405,29.470000000000027
213,cidade velha,14.9167,-23.6167,296.41,78,20,5.14,CV,1717020406,23.260000000000048
214,nova sintra,14.8667,-24.7167,296.95,80,48,8.51,CV,1717020407,23.80000000000001
215,bela,25.9333,81.9833,307.64,20,17,2.79,IN,1717020407,34.49000000000001
216,jijiga,9.35,42.8,291.56,83,100,4.73,ET,1717020408,18.410000000000025
217,lodja,-3.4833,23.4333,297.61,58,88,0.7,CD,1717020408,24.460000000000036
218,sisimiut,66.9395,-53.6735,271.99,92,100,7.66,GL,1717020364,-1.1599999999999682
219,garrucha,37.1874,-1.8349,294.27,65,6,0.72,ES,1717020409,21.120000000000005
220,iquitos,-3.7481,-73.2472,296.17,83,100,2.57,PE,1717020409,23.02000000000004
221,camayenne,9.535,-13.6878,301.66,81,45,3.8,GN,1717020410,28.510000000000048
222,dolinsk,47.35,142.8,278.55,80,100,5.48,RU,1717020228,5.400000000000034
223,margate,51.3813,1.3862,288.54,78,7,1.79,GB,1717020347,15.390000000000043
224,pimenta bueno,-11.6725,-61.1936,295.82,70,3,1.71,BR,1717020333,22.670000000000016
225,feicheng,35.2606,117.9675,292.86,55,100,1.57,CN,1717020411,19.710000000000036
226,praia da vitoria,38.7333,-27.0667,292.46,99,100,3.86,PT,1717020412,19.310000000000002
227,qamdo,31.1667,97.2333,279.78,79,10,0.45,CN,1717020413,6.6299999999999955
228,wailua homesteads,22.0669,-159.378,300.39,80,40,7.2,US,1717020413,27.24000000000001
229,san luis de la loma,17.2706,-100.8939,305.54,54,0,5.08,MX,1717020414,32.39000000000004
230,lakatoro,-16.0999,167.4164,297.96,71,58,8.94,VU,1717020414,24.810000000000002
231,daru,-9.0763,143.2092,299.56,87,92,7.31,PG,1717020415,26.410000000000025
232,akureyri,65.6835,-18.0878,281.58,75,83,2.49,IS,1717020415,8.430000000000007
233,vilyuchinsk,52.9306,158.4028,278.11,97,100,3.38,RU,1717020416,4.960000000000036
234,argo,37.6333,22.7333,291.02,72,98,1.82,GR,1717020416,17.870000000000005
235,ringkobing,56.0901,8.244,286.14,94,100,4.12,DK,1717020402,12.990000000000009
236,nuriootpa,-34.4833,139.0,289.8,68,100,8.28,AU,1717020417,16.650000000000034
237,nerk'in getashen,40.1405,45.279,287.48,61,100,1.14,AM,1717020418,14.330000000000041
238,miramar,25.9873,-80.2323,307.05,68,0,6.17,US,1717020313,33.900000000000034
239,gedo,9.0167,37.45,286.25,88,100,0.76,ET,1717020419,13.100000000000023
240,leh,34.1667,77.5833,277.07,57,5,0.93,IN,1717020419,3.920000000000016
241,oltinko'l,40.8011,72.1634,294.83,42,100,1.72,UZ,1717020420,21.680000000000007
242,mogadishu,2.0371,45.3438,299.63,80,25,7.74,SO,1717020420,26.480000000000018
243,pribrezhnyy,53.4866,49.8584,286.77,66,74,2.33,RU,1717020297,13.620000000000005
244,ta`u,-14.2336,-169.5144,302.01,74,100,3.68,AS,1717020422,28.860000000000014
245,kuytun,54.3419,101.5036,277.51,89,73,1.81,RU,1717020422,4.360000000000014
